2025-08-27,TIMEFOLIO 코스피액티브
삼성전자,"2,700.00"
SK하이닉스,350.00
와이지엔터테인먼트,500.00
LG에너지솔루션,137.00
삼양식품,34.00
두산에너빌리티,800.00
한국전력,"1,350.00"
카카오,750.00
한화에어로스페이스,50.00
삼성바이오로직스,34.00
에이피알,130.00
파마리서치,40.00
HD현대중공업,58.00
HD현대미포,135.00
한국금융지주,176.00
삼성중공업,"1,100.00"
기아,214.00
현대차,100.00
셀트리온,119.00
NAVER,90.00
SNT다이내믹스,300.00
알테오젠,40.00
삼성SDI,80.00
현대모비스,59.00
HD한국조선해양,50.00
신한지주,260.00
펌텍코리아,243.00
키움증권,76.00
리가켐바이오,100.00
삼성생명,106.00
KB금융,130.00
F&F,200.00
LIG넥스원,26.00
대한조선,150.00
OCI홀딩스,150.00
하이브,40.00
삼성에스디에스,60.00
미래에셋증권,400.00
원화현금,-
