2025-09-04,TIMEFOLIO Korea플러스배당액티브
삼성전자,497.00
삼양식품,13.00
두산에너빌리티,250.00
SK하이닉스,50.00
메리츠금융지주,100.00
현대차2우B,59.00
HD현대일렉트릭,20.00
HD현대미포,48.00
한전기술,100.00
키움증권,40.00
KT&G,58.00
미래에셋생명,"1,050.00"
삼성증권,111.00
삼성생명,50.00
미래에셋증권,400.00
NH투자증권,381.00
삼성화재,15.00
KB금융,60.00
신한지주,100.00
기아,60.00
KT,120.00
한화생명,"2,000.00"
삼성SDI,30.00
S-Oil,100.00
JB금융지주,250.00
BNK금융지주,400.00
하나금융지주,70.00
HD한국조선해양,14.00
한국전력,150.00
코리안리,500.00
한화투자증권,"1,000.00"
한국금융지주,40.00
우리금융지주,200.00
한화오션,40.00
한화에어로스페이스,5.00
CJ제일제당,20.00
기업은행,230.00
삼성중공업,200.00
iM금융지주,300.00
LG에너지솔루션,7.00
원화현금,-
