2025-09-16,TIMEFOLIO 코리아밸류업액티브
CJ,46.00
HD현대인프라코어,"1,200.00"
HD현대일렉트릭,40.00
JB금융지주,150.00
KB금융,340.00
KT,100.00
KT&G,95.00
LIG넥스원,19.00
LS ELECTRIC,20.00
NAVER,30.00
SK하이닉스,310.00
기아,80.00
대한항공,200.00
두산,10.00
두산에너빌리티,100.00
메리츠금융지주,120.00
미래에셋증권,"1,050.00"
삼성전자,750.00
삼성증권,100.00
삼성화재,15.00
삼양식품,10.00
신한지주,430.00
우리금융지주,350.00
원화현금,-
이수페타시스,100.00
코미코,150.00
코웨이,69.00
크래프톤,15.00
키움증권,100.00
파마리서치,12.00
하나금융지주,230.00
한국금융지주,53.00
한진칼,45.00
한화시스템,80.00
한화에어로스페이스,44.00
한화투자증권,"1,000.00"
현대글로비스,40.00
현대로템,111.00
현대모비스,40.00
현대차,40.00
효성중공업,10.00
